番号,スキルカード名,カードタイプ,プラン,パラメータ,強化後パラメータ,元気,強化後元気,やる気,強化後やる気,好印象,強化後好印象,集中,強化後集中,好調,強化後好調,絶好調,強化後絶好調,消費体力減少(ターン),強化後消費体力減少(ターン),体力回復,強化後体力回復,消費対象,消費,強化後消費,他効果,レアリティ,PLv,固有カード
33,思い出し笑い,メンタル,ロジック,-,-,-,-,-,-,好印象+3 好印象が3以上の場合、やる気+2,好印象+4 好印象が3以上の場合、やる気+3,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,-2,-,青札,4,-
34,パステル気分,メンタル,ロジック,-,-,元気+5 やる気が3以上の場合、好印象+3,元気+5 やる気が3以上の場合、好印象+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,-,青札,9,-
35,励まし,メンタル,ロジック,-,-,-,-,やる気+3 やる気が6以上の場合、好印象+4,やる気+4 やる気が6以上の場合、好印象+5,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,青札,19,-
41,アルバイター,アクティブ,ロジック,2,6,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 藤田ことね 
42,超高学歴アイドル,メンタル,ロジック,-,-,元気+2 やる気が6以上の場合、元気+3,元気+4 やる気が6以上の場合、元気+5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 篠澤広 
43,内気系少女,メンタル,ロジック,-,-,-,-,-,-,好印象+1 以降、ターン終了時、好印象+1,好印象+2 以降、ターン終了時、好印象+2,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-2,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 葛城リーリヤ 
44,元気いっぱい,アクティブ,ロジック,元気の50%分パラメータ上昇,元気の70%分パラメータ上昇,2,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,体力,-4,-4,レッスン中1回/試験中1回/重複不可,青札,-,R [学園生活] 倉本千奈 
45,未完の大器,メンタル,ロジック,-,-,元気+2(レッスン中に使用したスキルカード1枚ごとに、元気増加量+3),元気+2(レッスン中に使用したスキルカード1枚ごとに、元気増加量+4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-3,-3,-,青札,-,R [学園生活] 花見佑芽 
102,200%スマイル,アクティブ,ロジック,好印象の100%分パラメータ上昇,好印象の170%分パラメータ上昇,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,虹札,11,-
103,開花,アクティブ,ロジック,やる気の200%分パラメータ上昇,やる気の300%分パラメータ上昇,-,-,6,8,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回/重複不可,虹札,12,-
104,届いて！,アクティブ,ロジック,元気を0にして、減少前の元気の160%分パラメータ上昇,元気を0にして、減少前の元気の220%分パラメータ上昇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-2,-2,レッスン中1回/試験中1回/重複不可,虹札,44,-
113,私がスター,メンタル,ロジック,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,好印象,-2,-1,ターン追加+1/レッスン中1回/試験中1回/重複不可,虹札,25,-
114,星屑センセーション,メンタル,ロジック,-,-,-,-,-,-,5,7,-,-,-,-,-,-,-,-,-,-,やる気,-3,-3,レッスン中1回/試験中1回/重複不可,虹札,30,-
115,ノートの端の決意,メンタル,ロジック,-,-,-,-,3,3,3,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,レッスン中1回/試験中1回/重複不可,虹札,37,-
116,手書きのメッセージ,メンタル,ロジック,-,-,元気+9 元気+9,元気+10 元気+10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,好印象,-2,-1,レッスン中1回/試験中1回/重複不可,虹札,39,-
117,トキメキ,メンタル,ロジック,-,-,-,-,5,6,8,10,-,-,-,-,-,-,-,-,-,-,元気/体力,-10,-9,レッスン中1回/試験中1回/重複不可,虹札,42,-
118,虹色ドリーマー,メンタル,ロジック,-,-,-,-,-,-,好印象+1 以降、ターン終了時、好印象が3以上の場合、好印象+3,好印象+4 以降、ターン終了時、好印象が3以上の場合、好印象+4,-,-,-,-,-,-,-,-,-,-,元気/体力,-9,-9,レッスン中1回/試験中1回/重複不可,虹札,45,-
124,よそ見はダメ♪,メンタル,ロジック,-,-,2,4,-,-,7,9,-,-,-,-,-,-,-,-,-,-,元気/体力,-6,-6,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [世界一可愛い私] 藤田ことね 
125,本気の趣味,メンタル,ロジック,-,-,元気+5 やる気が3以上の場合、元気+4,元気+7 やる気が3以上の場合、元気+7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,0,0,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [光景] 篠澤広 
126,もう怖くないから,メンタル,ロジック,-,-,-,-,-,-,好印象+3 以降、ターン終了時、好印象+1,好印象+4 以降、ターン終了時、好印象+2,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-2,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [白線] 葛城リーリヤ 
127,お嬢様の晴れ舞台,アクティブ,ロジック,元気の100%分パラメータ上昇,元気の120%分パラメータ上昇,2,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,体力,-4,-4,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [Wonder Scale] 倉本千奈 
128,絡まる思い,メンタル,ロジック,-,-,-,-,-,-,8,10,-,-,-,-,-,-,-,-,-,-,元気/体力,-8,-8,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [アイヴイ] 月村手毬 
129,おっきなおにぎり,メンタル,ロジック,-,-,元気+2(レッスン中に使用したスキルカード1枚ごとに、元気増加量+5),元気+2(レッスン中に使用したスキルカード1枚ごとに、元気増加量+8),-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-3,-3,レッスン中1回/試験中1回/重複不可,虹札,-,SSR [The Rolling Riceball] 花海佑芽 
139,ダメダメクッキング,メンタル,ロジック,-,-,-,-,3,4,4,5,-,-,-,-,-,-,-,-,-,-,元気/体力,-7,-6,レッスン/試験中1回 重複不可,虹札,-,SSR [あたしたち、やればできる] 
5,可愛い仕草,アクティブ,ロジック,好印象の100％分パラメータ上昇,好印象の120％分パラメータ上昇,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-5,レッスン中1回/試験中1回,白札,-,-
6,気分転換,アクティブ,ロジック,元気の100%分パラメータ上昇,元気の110%分パラメータ上昇,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,体力,-5,-3,レッスン中1回/試験中1回,白札,-,-
10,目線の基本,メンタル,ロジック,-,-,1,2,-,-,2,3,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,-2,-,白札,-,-
11,意識の基本,メンタル,ロジック,-,-,1,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,-2,-,白札,-,-
46,前途洋々,アクティブ,フリー,8,12,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-4,-4,-,金札,3,-
60,アイドル宣言,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,体力,-1,0,レッスン中1回/試験中1回/重複不可,金札,23,-
61,ハイテンション,メンタル,フリー,-,-,11,13,-,-,-,-,-,-,-,-,-,-,3,4,-,-,元気/体力,0,0,元気増加無効2ターン/レッスン中1回/試験中1回,金札,23,-
91,お姉ちゃんだもの！,アクティブ,フリー,6,10,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-3,-3,レッスンCLEARの100%以下(試験の場合、パラメータ1000以下)の場合、使用可/次のターン、スキルカードを引く/レッスン中1回/試験中1回/重複不可,金札,-,SR [体当たりのラブコール] 
92,おアツイ視線,メンタル,フリー,-,-,5,6,-,-,-,-,-,-,-,-,-,-,2,3,-,-,元気/体力,0,0,元気が0の場合、使用可/レッスン中1回/試験中1回/重複不可,金札,-,SR [のらりくらりしっかり] 
93,ご指導ご鞭撻,アクティブ,フリー,4,4,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-5,-2,体力が50%以上の場合、使用可/次のターン、手札をすべてレッスン中強化/レッスン中1回/試験中1回/重複不可,金札,-,SR [てとりあしとり] 
94,ストレッチ談義,アクティブ,フリー,3,3,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,元気/体力,-3,0,3ターン目以降の場合、使用可/次のターン、手札をすべてレッスン中強化/レッスン中1回/試験中1回/重複不可,金札,-,SR [疑惑の大腿四頭筋] 
95,全力サポート,メンタル,フリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,元気/体力,-2,0,スキルカード使用数追加+1/次のターン、スキルカードを引く/レッスン中1回/試験中1回/重複不可,金札,-,SR [はじめてのお友達] 
25,気合十分！,メンタル,フリー,-,-,2,2,-,-,-,-,-,-,-,-,-,-,2,3,-,-,元気/体力,0,0,-,青札,16,-
